,Event_Name,Venue,Event_Date,Number_of_Attendees
0,Innervisions New York at Knockdown Center,Knockdown Center,2019-05-17,706
1,Headless Horseman Live / Vatican Shadow / Volvox / Becka Diamond at BASEMENT,BASEMENT,2019-05-17,255
2,Friday: PLO Man All Night at Nowadays,Nowadays,2019-05-17,101
3,ReSolute w Move D & Flabbergast at TBA - New York,TBA - New York,2019-05-17,69
4,Material 17: Nico Laa at Hart bar,Hart bar,2019-05-17,26
5,Full Moon with Sébastien Léger at House Of Yes,House Of Yes,2019-05-17,21
6,"Museum of Love (DJ set), L&l&l Record Club Plus Spiritual Mental Physical at Good Room",Good Room,2019-05-17,13
7,Pete Rock at Analog Bkny,Analog Bkny,2019-05-17,12
8,"Just Blaze, Matt FX and Trillnatured at Elsewhere",Elsewhere,2019-05-17,9
9,"Rendezvous with Sons of Immigrants, Arvi, CGC at TBA Brooklyn",TBA Brooklyn,2019-05-17,7
10,"Easy with Will Buck, Jordan James and Wilki at Elsewhere",Elsewhere,2019-05-17,3
11,Schimanski presents: Soup NYC vs Ill Behavior at Schimanski,Schimanski,2019-05-17,3
12,Afterhours - Bushwick A/V: Velasco / Cafuné / Sid Vaga at Polygon BK,Polygon BK,2019-05-17,3
13,"D'Noir AM feat. Sashi, Mitchell & Cleveland at Polygon BK",Polygon BK,2019-05-17,2
14,Rakim Y Ken Y Live Club 2019 (18 to Party) at Club X-Kandalo (Formerly the Avalon/Newburgh Skate Park),Club X-Kandalo (Formerly the Avalon/Newburgh Skate Park),2019-05-17,1
15,Call Super + CCL at public records,public records,2019-05-17,46
16,Egyptian Lover at Le Bain,Le Bain,2019-05-17,29
17,"Eamon & Justin, Soul Summit, Analog Soul, and More at TBA - Brooklyn",TBA - Brooklyn,2019-05-17,22
18,Satori & The Band From Space: Live in Concert at National Sawdust,National Sawdust,2019-05-17,20
19,Nycxdesign Urban Imprint Launch Party at A/D/O,A/D/O,2019-05-17,8
20,"Sleepy & Boo, Dpak Manny Digz, Flowmingo - Nublu Classic at Nublu",Nublu,2019-05-17,6
21,Technofeminism at Bossa Nova Civic Club,Bossa Nova Civic Club,2019-05-17,4
22,Origins NY: 012 at Escondido,Escondido,2019-05-17,3
23,"Loveless Records and Friends with The Dance Pit, Montepiedra and More at Elsewhere",Elsewhere,2019-05-17,2
24,Felipe From BK x Bryce David x Champs at Black Flamingo,Black Flamingo,2019-05-17,2
25,WARPER PARTY at The Deep End,The Deep End,2019-05-17,2
26,Chunk at Bedlam Bar And Lounge,Bedlam Bar And Lounge,2019-05-17,2
27,Sidewalks and Skeletons & Brothel at H0L0,H0L0,2019-05-17,1
28,"Body Shine at The Fuze Box, Buffalo/Rochester","The Fuze Box, Buffalo/Rochester",2019-05-17,1
29,Unik Fridays At Fusion Lounge at Fusion Lounge NY,Fusion Lounge NY,2019-05-17,1
30,Run P. presents Fried Dynamite  at Friends & Lovers,Friends & Lovers,2019-05-17,1
31,Blurry Vissions at Starliner,Starliner,2019-05-17,1
32,House Music Happy Hour with DJ Mkhuseli at Bean & Barley Harlem,Bean & Barley Harlem,2019-05-17,1
33,Go Bang! House Party with Max Dowd at Our Wicked Lady,Our Wicked Lady,2019-05-17,1
34,Quiet Clubbing Astoria Beer Garden at Bohemian Hall & Beer Garden,Bohemian Hall & Beer Garden,2019-05-17,1
35,"Lænz, Charmaine Lee, DJ Lady Lane, Octonomy, Anastasia Clarke, Raq at Refuge Arts",Refuge Arts,2019-05-17,1
0,Unter x Discwoman: Mayhem at Sugar Hill Disco,Sugar Hill Disco,2019-05-18,515
1,"The Bunker with DJ Nobu, Dr. Rubinstein, Wata Igarashi, Derek Plaslaiko at Market Hotel",Market Hotel,2019-05-18,315
2,Wrecked with CEM at BASEMENT,BASEMENT,2019-05-18,205
3,"KUNÁ Sunset Rooftop with Elfenberg, El Mundo, Lemurian, Ameme at Williamsburg Hotel",Williamsburg Hotel,2019-05-18,146
4,"Golden Record x The Selectors with Masomenos (Live/DJ), Eddie Fowlkes & Steve O'sullivan (Live) at Good Room",Good Room,2019-05-18,75
5,"Kindergarten with Vagabundo Club Social, Tom Noble, Ma Sha, Joyce Tang and Hirotoshi Umeda at Elsewhere",Elsewhere,2019-05-18,71
6,Solar IV at H0L0,H0L0,2019-05-18,70
7,"ReSolute w Amorf, SIT, & Vincent Lemieux at TBA - New York",TBA - New York,2019-05-18,68
8,"Neon Indian (DJ Set at Elsewhere Rooftop), Baltra, Mira Fahrenheit and Allie Bell at Elsewhere",Elsewhere,2019-05-18,56
9,Leaving New York to Change the World at TBA - Brooklyn,TBA - Brooklyn,2019-05-18,41
10,"Thomas Jack, Travis Wild at Elsewhere",Elsewhere,2019-05-18,39
11,"Saturday: Shyboi, False Witness and Rizzla at Nowadays",Nowadays,2019-05-18,29
12,"Terrence Parker, Lauren Flax, Marshall Applewhite, Mira Fahrenheit, Merachka at House Of Yes",House Of Yes,2019-05-18,20
13,Afterhours - Bushwick A/V x Nervous Records: Benny Soto/ Mike Nervous/ Shahar at Polygon BK,Polygon BK,2019-05-18,15
14,*Second Show* Nitzer Ebb at Elsewhere,Elsewhere,2019-05-18,13
15,Frequencies with Sleepy & Boo at TBA Brooklyn,TBA Brooklyn,2019-05-18,7
16,Get Fried with Disco Fries at Pier 15,Pier 15,2019-05-18,2
17,Party Up Midnight Yacht Cruise at Harbor Lights Yacht,Harbor Lights Yacht,2019-05-18,1
18,"Funk Flex, Wendy Williams & Donell Jones Birthday at Hornblower Yacht 2019 at Hornblower Cruise",Hornblower Cruise,2019-05-18,1
19,The Scene presents: Export at Eris,Eris,2019-05-18,1
20,D'noir AM Feat. Preston & Friends at Polygon BK,Polygon BK,2019-05-18,1
21,Saturday Night Party Cruise at Harbor Lights Yacht,Harbor Lights Yacht,2019-05-18,1
22,Secret Sundowner at Williamsburg Rooftop,Williamsburg Rooftop,2019-05-18,1
23,Disclosure (DJ Set) at Brooklyn Mirage,Brooklyn Mirage,2019-05-18,135
24,Tony Humphries 2019 Residency at Le Bain,Le Bain,2019-05-18,11
25,"Poprally presents Stranger Vibes: A Night of Art and Technology with Aurora Halal, Sam Rolfes, at MoMA",MoMA,2019-05-18,9
26,Amir Abdullah + Trus'me at public records,public records,2019-05-18,7
27,Red Bull Music Festival presents Nyege Nyege Night with DJ Kampire at Black Flamingo,Black Flamingo,2019-05-18,6
28,Nu Bang Outdoor Sessions at East River Park Ampitheatre,East River Park Ampitheatre,2019-05-18,6
29,Xmpz / An-i / Cali Rose at Bossa Nova Civic Club,Bossa Nova Civic Club,2019-05-18,5
30,Modern Times with Conan (Seoul / Disco Experience) at Ceremony,Ceremony,2019-05-18,5
31,"Malik Hendricks - Black Chakra Release Party with Marco Weibel, Fine Touch and John Soultrane at Elsewhere",Elsewhere,2019-05-18,4
32,Content Aware at Wonderville,Wonderville,2019-05-18,4
33,Ambient Cafe feat. Francis Harris CCL at public records,public records,2019-05-18,4
34,Youdontknowaboutthisshitkiid at Libation,Libation,2019-05-18,3
35,Tarek Atoui: Organ Within feat. C. Lavender at Kurimanzutto,Kurimanzutto,2019-05-18,3
36,Pew Pew: Candy Carnival at Drom,Drom,2019-05-18,2
37,"Sole Rehab 042 - Signal Noise vs Sole Rehab at TBA - Rochester, Buffalo/Rochester","TBA - Rochester, Buffalo/Rochester",2019-05-18,2
38,"PFR Live: Noah Prebish, Wandertalk, Juggable Offense, Aaron Rays, The Space Wanderer, Christinä at TBA - New York",TBA - New York,2019-05-18,2
39,Ibiza Lounge at Engine Room New York,Engine Room New York,2019-05-18,2
40,"Poprally presents Stranger Vibes: A Night of Art and Technology with Aurora Halal, Sam Rolfes, at The Museum of Modern Art",The Museum of Modern Art,2019-05-18,2
41,House Music Happy Hour with DJ Mkhuseli at Bean & Barley Harlem,Bean & Barley Harlem,2019-05-18,1
42,Dancinginthestreet: Dance Paradefloat: S.O.L.A.R at TBA - New York,TBA - New York,2019-05-18,1
43,"Harvard Bass, Alan Nieves, Dischetto at Sunnyvale",Sunnyvale,2019-05-18,1
44,Faith Lift Party presents Neon Disco Vol. 2 at Kinfolk 90,Kinfolk 90,2019-05-18,1
45,Image Haze: A Tribute to Gretchen Bender'S “SO Much DEATHLESS” with Black Rain & Kaitlyn Aureli at Issue Project Room,Issue Project Room,2019-05-18,1
46,"Funk Flex, Wendy Williams & Donell Jones Birthday - Hornblower Yacht 2019 at Pier 40",Pier 40,2019-05-18,
0,"Joseph Capriati Invites: Joseph Capriati, Len Faki, François K at Brooklyn Mirage",Brooklyn Mirage,2019-05-19,533
1,Mister Sunday: Optimo All Day at Nowadays,Nowadays,2019-05-19,176
2,"Zero presents... Dystōpia (Debut) with Be Svendsen, Nico Stojan, Davi, Magit Cacoon & More at Knockdown Center",Knockdown Center,2019-05-19,144
3,ebb + flow Boat Party with Dave Seaman & Justin Marchacos at Circle Line Cruises,Circle Line Cruises,2019-05-19,139
4,Tiki Disco (Elsewhere Rooftop Opening Weekend) at Elsewhere,Elsewhere,2019-05-19,44
5,"Weird Science no.11 with Gavin Rayna Russom, An-i, Amourette at Magick City",Magick City,2019-05-19,24
6,CAS NYC Celebrates 25 Years of Nas 'Illmatic' at Nowadays,Nowadays,2019-05-19,11
7,Fundrager For 83: Earth Eater Trippjones GIA More at H0L0,H0L0,2019-05-19,3
8,"Revival Rooftop feat. Miss Jennifer, Logan at Polygon BK",Polygon BK,2019-05-19,1
9,"Poprally presents Stranger Vibes: A Night of Art and Technology with Aurora Halal, Sam Rolfes, at MoMA",MoMA,2019-05-19,9
10,Nu Bang Outdoor Sessions at East River Park Ampitheatre,East River Park Ampitheatre,2019-05-19,6
11,"HHO - Heavy Hitters Only: AZF, Rachel Noon, Secret Guests at Bossa Nova Civic Club",Bossa Nova Civic Club,2019-05-19,5
12,"Sunday Soiree: Rufus Gibson, Miguel Ortiz at TBA Brooklyn",TBA Brooklyn,2019-05-19,4
13,Paradisco: Season Farewell at Le Bain,Le Bain,2019-05-19,3
14,Joseph Capriati Invites Len Faki at Brooklyn Mirage,Brooklyn Mirage,2019-05-19,2
15,Game Of Thrones Final Episode Cosplay Viewing Party at Club 57,Club 57,2019-05-19,2
16,Birdcage with Lina Bradford & Donna D'cruz at Le Bain,Le Bain,2019-05-19,2
17,Mark Grusane & Fatik at public records,public records,2019-05-19,1
18,Tony Touch & Mr Voodoo Ray - Funkboxnyc at Chelsea Music Hall,Chelsea Music Hall,2019-05-19,1
19,Fada Disco! Summer Season Opener at Le Cabanon @Fada French Bistro,Le Cabanon @Fada French Bistro,2019-05-19,1
0,Paradisco: Season Farewell at Le Bain,Le Bain,2019-05-20,3
1,Body Music Therapy with Jen Orlando at Nowadays,Nowadays,2019-05-20,2
0,Channel Tres at Elsewhere,Elsewhere,2019-05-21,8
1,"Delivery. Polanco, Pereira, La Carta, Bytz, Pjay at Ms. Yoo",Ms. Yoo,2019-05-21,7
2,"Funky People - Funky FAM Throwdown // DKDS, 3C & St. Xose at TBA Brooklyn",TBA Brooklyn,2019-05-21,5
3,Frendzone // Mike Bloom / Joelle S / Kellam Matthews at Bossa Nova Civic Club,Bossa Nova Civic Club,2019-05-21,2
4,Young & Sick (DJ Set) at Elsewhere,Elsewhere,2019-05-21,1
5,Feel Real presents: They Already Know at Rumpus Room,Rumpus Room,2019-05-21,1
6,Joy Supply at Jupiter Disco at Jupiter Disco,Jupiter Disco,2019-05-21,1
0,Distrikt1 2 Year Anniversary with VTSS at Bossa Nova Civic Club,Bossa Nova Civic Club,2019-05-22,15
1,"Under with Jonny Sum, Emjay and Seph at Good Room",Good Room,2019-05-22,5
2,7587 presents // Connie at Bossa Nova Civic Club,Bossa Nova Civic Club,2019-05-22,3
3,"Undisclosed with Maksim, Karlos Leon, Zaul Zoto, Mark Dumitrescu at TBA Brooklyn",TBA Brooklyn,2019-05-22,3
4,35s & 45s presents: No Photos at Chelsea Music Hall,Chelsea Music Hall,2019-05-22,2
5,Dance Dance Dance at Le Bain,Le Bain,2019-05-22,2
6,Heineken Green Room presents: Duckwrth with Alex Mali and Dylan the Gypsy at Union Pool,Union Pool,2019-05-22,1
0,"Nick Hook & Friends with Okada 8000, V.I.P. Skylark & Kid Kreep, Tee Lerrone at Good Room",Good Room,2019-05-23,13
1,Maximum Style 001 at Bossa Nova Civic Club,Bossa Nova Civic Club,2019-05-23,6
2,Vinyl Please. 3rd Anniversary at TBA Brooklyn,TBA Brooklyn,2019-05-23,4
3,Disorient Country Club IX - Euclidean Voyage at TBA - New York,TBA - New York,2019-05-23,3
4,Two Years of Nippon Leagues Feat. Van Paugam at Jupiter Disco,Jupiter Disco,2019-05-23,2
5,Deradoorian (of Dirty Projectors) at public records,public records,2019-05-23,2
6,Body 2 Body at H0L0,H0L0,2019-05-23,2
7,Tropical BAE Club Night at Lot 45,Lot 45,2019-05-23,2
8,Joyride at Le Bain,Le Bain,2019-05-23,2
9,"Sistaspin Residency with Delia Dane, KIF, Jody, Tnyfox and More at Elsewhere",Elsewhere,2019-05-23,1
10,"Kevin Drumm Hoffman Estates: Connors, Licht, Vandermark, Abrams, Taylor at Brooklyn Music School Theater",Brooklyn Music School Theater,2019-05-23,1
11,"yes&yay Pres: The Den - Jose Matos, 3C, Nico Kass at Macao Trading Company",Macao Trading Company,2019-05-23,1
0,Four Tet at Knockdown Center,Knockdown Center,2019-05-24,349
1,Exhale New York x Teksupport with Amelie Lens at 99 Scott Ave,99 Scott Ave,2019-05-24,251
2,Staub with Luke Slater / Irakli / Caleb ESC / Adrestia at BASEMENT,BASEMENT,2019-05-24,106
3,ReSolute w Matthew Herbert & Daniel Bell + Kalabrese in Bad Room at Good Room,Good Room,2019-05-24,101
4,Friday: Leon Vynehall All Night at Nowadays,Nowadays,2019-05-24,75
5,DJ Mag Best of North America with Robert Hood + Justin Cudmore (Elsewhere Rooftop) at Elsewhere,Elsewhere,2019-05-24,42
6,"Club Night Club presents: TSVI, Laksa, Re:ni at H0L0",H0L0,2019-05-24,34
7,Eric De La Cruz: A Diamond and Ruby Jubilee at Elsewhere,Elsewhere,2019-05-24,15
8,"FIST XI: Ansome, Le1f, Rachel Noon at Trans Pecos",Trans Pecos,2019-05-24,14
9,"Atmosfera with P.Leone, Adam Braiman, Rupert Wall, Woke Bloke at TBA Brooklyn",TBA Brooklyn,2019-05-24,6
10,Oh Yes: Breathe Carolina Memorial Day Weekend Boat Party at Pier 15,Pier 15,2019-05-24,2
11,"D'Noir AM Diana Salazar, Sebjara Juancep at Polygon BK",Polygon BK,2019-05-24,1
12,Discoteca Jungla at Il Cortile,Il Cortile,2019-05-24,1
13,Leon Vynehall - DJ-Kicks Tour - NY at TBA - Brooklyn,TBA - Brooklyn,2019-05-24,40
14,"Metamorph: DJ I-Cue, MC T.R.A.C., DJ Voices, & Shy Eyez at Jupiter Disco",Jupiter Disco,2019-05-24,14
15,Adam X & GIA at Bossa Nova Civic Club,Bossa Nova Civic Club,2019-05-24,13
16,DJ Qu + Joey Anderson at public records,public records,2019-05-24,13
17,Elixir: Rabia Khan & Rob Seurat at Mood Ring,Mood Ring,2019-05-24,12
18,A Night with Bitbird at Brooklyn Mirage,Brooklyn Mirage,2019-05-24,4
19,Disorient Country Club IX - Euclidean Voyage at TBA - New York,TBA - New York,2019-05-24,3
20,Jitwam presents 'Honeycomb' Album Launch at Elsewhere,Elsewhere,2019-05-24,3
21,Midnight Riot NYC at Black Flamingo,Black Flamingo,2019-05-24,3
22,Select Summer Fridays at Le Bain,Le Bain,2019-05-24,3
23,"Yu Su, Cry Baby and JKriv at Le Bain",Le Bain,2019-05-24,3
24,LayLit with Saphe & Wake Island at C'mon Everybody,C'mon Everybody,2019-05-24,2
25,Sebastian Mullaert (Live) at National Sawdust,National Sawdust,2019-05-24,2
26,Libation 13th Anniversarty Party at Drom,Drom,2019-05-24,1
27,"Melting Point Fundraver for Al Otro Lado with Total Freedom, Julien Andreas, Skyshaker, Moma Re at Market Hotel",Market Hotel,2019-05-24,1
28,w.Hole Techno presents: The Underground at Eris,Eris,2019-05-24,1
0,"Nora En Pure presents Purified with Huxley, Mat.Joe & More at Brooklyn Mirage",Brooklyn Mirage,2019-05-25,144
1,"Gather Festival MDW 2019: Amelie Lens, Danny Tenaglia, Jamie XX, James Murphy, Mr G and More at Holiday Mountain - Monticello, NY","Holiday Mountain - Monticello, NY",2019-05-25,138
2,999999999 / Fabrizio Lapiana at BASEMENT,BASEMENT,2019-05-25,109
3,Saturday: Working Women and Courtesy at Nowadays,Nowadays,2019-05-25,38
4,718 Sessions on the Elsewhere Rooftop at Elsewhere,Elsewhere,2019-05-25,23
5,"DāM-Funk, DJ Lindsey Plus John Barera & Kellam Matthews at Good Room",Good Room,2019-05-25,22
6,"Nicky Siano, Superjaimie at Elsewhere",Elsewhere,2019-05-25,14
7,"Susanne Bartsch's - Kunst with Amber Valentine, A Village Raid, Mazurbate and More at Elsewhere",Elsewhere,2019-05-25,6
8,Into The Jungle with Hyenah & One Tribe at House Of Yes,House Of Yes,2019-05-25,5
9,Apashe Memorial Day Weekend Boat Party at Hornblower Cruise,Hornblower Cruise,2019-05-25,3
10,"D'Noir AM feat. Diezel, Luquez B2B Cuellar at Polygon BK",Polygon BK,2019-05-25,2
11,"Soup // Love & Logic, Will OB, Deluxed, Max Sprauer at TBA Brooklyn",TBA Brooklyn,2019-05-25,2
12,Ravel Penthouse 808 MDW 2019 Rooftop Party Everyone Free (Gametight) at Penthouse808,Penthouse808,2019-05-25,1
13,"Ragga Transude: Epic B, Joey Labeija, SADAF at H0L0",H0L0,2019-05-25,1
14,Juju and Jordash Francis Harris at public records,public records,2019-05-25,10
15,Future Gardens presents: Bishu with Jeanie and Xcrpt at Sunnyvale,Sunnyvale,2019-05-25,6
16,13th Annual Summer Kickoff Boat Ride Party at Skyport Marina,Skyport Marina,2019-05-25,5
17,afrokinetic at Le Bain,Le Bain,2019-05-25,4
18,Disorient Country Club IX - Euclidean Voyage at TBA - New York,TBA - New York,2019-05-25,3
19,"Marvel Years, Bass Physics, Cobrayama at Knitting Factory",Knitting Factory,2019-05-25,2
20,Tokyo Underground Night at Ideal Glass,Ideal Glass,2019-05-25,2
21,Microtones: Jared Wilson at Forest City Lodge 180,Forest City Lodge 180,2019-05-25,1
22,Rub the Lamp: An Aladdin Themed Rave at Studio M,Studio M,2019-05-25,1
23,Makossa BK Season 10 Kickoff (wsg SZN SLT Miranda Maxwell) at Our Wicked Lady,Our Wicked Lady,2019-05-25,1
24,"DJs ON Deck with Mark Francis, Beast621, Eddie S.-Outdoors at The Getaway",The Getaway,2019-05-25,1
25,Asquith / Heidi Sabertooth at Bossa Nova Civic Club,Bossa Nova Civic Club,2019-05-25,1
0,"Gather Festival MDW 2019: Amelie Lens, Danny Tenaglia, Jamie XX, James Murphy, Mr G and More at Holiday Mountain - Monticello, NY","Holiday Mountain - Monticello, NY",2019-05-26,138
1,Mister Sunday Memorial Day Weekend Special at Nowadays,Nowadays,2019-05-26,69
2,Battle Hymn Memorial Day Weekend at Rumi,Rumi,2019-05-26,56
3,718 Sessions on the Elsewhere Rooftop at Elsewhere,Elsewhere,2019-05-26,23
4,Kryder Memorial Weekend Boat Cruise at Pier 15,Pier 15,2019-05-26,11
5,Cut Snake at Good Room,Good Room,2019-05-26,5
6,Anjunabeats Brooklyn at Brooklyn Mirage,Brooklyn Mirage,2019-05-26,4
7,Sunday Night Fever: Memorial Day Weekend at House Of Yes,House Of Yes,2019-05-26,3
8,Mister Sunday Memorial Day Weekend Indoor After Party with Gop Tun DJs at Nowadays,Nowadays,2019-05-26,2
